QAN,QualificationTitle,AwardingOrganisation,QualificationLevel,QualificationType,SSA,OfferedInEngland,FundedInEngland,GLH,TQT,Pre16,Age16To18,Age18Plus,Age19Plus,FundingStreamName,FundingApprovalStartDate,ProposedOutcome,RolloverStatus,ExclusionReason,OperationalEndDate,PLDNS,CurrentFundingApprovalEndDate,ProposedFundingApprovalEndDate,Comments
60365948,CTH Level 3 Diploma in Professional Cookery - Confectionery & Patisserie,Confederation of Tourism and Hospitality,Level 3,Occupational Qualification,Hospitality and catering,True,True,420,500,True,True,True,True,Age1416,2020/09/01,Extended,Extended,,,,2027/07/31,2028/07/31,
6036595X,City & Guilds Level 2 Certificate in Engineering Operations (Knowledge),City & Guilds Limited,Level 2,Occupational Qualification,Engineering,True,True,220,230,False,True,True,True,LocalFlexibilities,2020/09/04,Extended,Extended,,,,2027/07/31,2028/07/31,
6036595X,City & Guilds Level 2 Certificate in Engineering Operations (Knowledge),City & Guilds Limited,Level 2,Occupational Qualification,Engineering,True,True,220,230,False,True,True,True,Age1619,2020/09/04,Extended,Extended,,,,2027/07/31,2028/07/31,
60365961,City & Guilds Level 2 Diploma in Engineering Operations (Knowledge),City & Guilds Limited,Level 2,Occupational Qualification,Engineering,True,True,370,390,False,True,True,True,LocalFlexibilities,2020/09/04,Extended,Extended,,,,2027/07/31,2028/07/31,
60365961,City & Guilds Level 2 Diploma in Engineering Operations (Knowledge),City & Guilds Limited,Level 2,Occupational Qualification,Engineering,True,True,370,390,False,True,True,True,Age1619,2020/09/04,Extended,Extended,,,,2027/07/31,2028/07/31,
60365985,CTH Level 3 Diploma in Essentials of Hospitality & Tourism,Confederation of Tourism and Hospitality,Level 3,Vocationally-Related Qualification,Hospitality and catering,True,True,350,700,True,True,True,True,LegalEntitlementL2L3,2026/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365985,CTH Level 3 Diploma in Essentials of Hospitality & Tourism,Confederation of Tourism and Hospitality,Level 3,Vocationally-Related Qualification,Hospitality and catering,True,True,350,700,True,True,True,True,Age1619,2023/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365985,CTH Level 3 Diploma in Essentials of Hospitality & Tourism,Confederation of Tourism and Hospitality,Level 3,Vocationally-Related Qualification,Hospitality and catering,True,True,350,700,True,True,True,True,AdvancedLearnerLoans,2023/08/01,Extended,Extended,,,,2027/07/31,2028/07/31,
60365985,CTH Level 3 Diploma in Essentials of Hospitality & Tourism,Confederation of Tourism and Hospitality,Level 3,Vocationally-Related Qualification,Hospitality and catering,True,True,350,700,True,True,True,True,Age1416,2020/09/07,Extended,Extended,,,,2027/07/31,2028/07/31,
60365997,CTH Level 3 Foundation Diploma in Hospitality Business,Confederation of Tourism and Hospitality,Level 3,Vocationally-Related Qualification,Hospitality and catering,True,True,620,1380,True,True,True,True,Age1416,2020/09/07,Excluded,Excluded,Operating End Date is before the Threshold,2026/10/31,,2027/07/31,2027/07/31,
